h,k,l,intensity_exp,error
-5,1,10,424.7725180007734,0
-5,2,-9,223.19848872113158,0
-5,2,-7,577.5436175520305,0
-5,2,-5,1472.1350491596988,0
-5,2,-3,1229.3880831728472,0
-5,2,-1,593.2291412582631,0
-5,2,1,306.7889124877482,0
-5,2,3,758.016798523724,0
-5,2,5,1030.3757376435144,0
-5,2,7,234.77125961503938,0
-5,2,9,115.18115411507448,0
-5,3,-10,675.615072588478,0
-5,3,-8,498.69312061298297,0
-5,3,-4,125.61943322944009,0
-5,3,-2,1212.8910862733426,0
-5,3,2,789.2170513754974,0
-5,3,4,84.1301518033985,0
-5,3,6,300.6158924138124,0
-5,3,8,222.4669942597413,0
-5,3,10,511.4878368374799,0
-5,4,-9,223.01190969380806,0
-5,4,-7,295.8854257283893,0
-5,4,-5,546.1342178808178,0
-5,4,-3,1004.9644370689293,0
-5,4,-1,447.832945356078,0
-5,4,1,390.5540612422742,0
-5,4,3,2.8344354209279017e-11,0
-5,4,5,463.3640081891483,0
-5,4,7,242.9078732477899,0
-5,4,9,124.11901644911943,0
-4,-4,-10,168.12484142522464,0
-4,-4,-6,181.2329416955748,0
-4,-4,-4,664.3617576895991,0
-4,-4,4,490.31844728149457,0
-4,-4,6,120.90614962708511,0
-4,-4,8,491.88591220797014,0
-4,-4,10,127.68535369481769,0
-4,-3,-9,285.23459711853616,0
-4,-3,-7,552.4008460615984,0
-4,-3,-5,1394.2293635228878,0
-4,-3,1,993.5884263637577,0
-4,-3,5,1237.658698756884,0
-4,-3,7,332.2661400982078,0
-4,-3,9,111.49399400544358,0
-4,-2,-10,564.9996979153804,0
-4,-2,-8,2125.4812735767296,0
-4,-2,-6,321.9219780157697,0
-4,-2,-2,1787.5316493589944,0
-4,-2,0,7337.563517714899,0
-4,-2,2,715.1144875724586,0
-4,-2,4,1040.5876241607525,0
-4,-2,8,786.7733157585857,0
-4,-2,10,278.61966480635647,0
-4,-1,-9,423.78192819382963,0
-4,-1,-5,4998.419219785774,0
-4,-1,-3,6909.492205814235,0
-4,-1,-1,1575.050903033812,0
-4,-1,1,1998.582287972993,0
-4,-1,3,2715.2974073984033,0
-4,-1,5,2179.1155822339024,0
-4,-1,9,243.61304656731187,0
-4,0,-10,831.5104130404533,0
-4,0,-8,3369.8846896739337,0
-4,0,-6,649.371046419136,0
-4,0,-4,2190.7780557078963,0
-4,0,-2,1401.0868640496315,0
-4,0,0,11607.96637589143,0
-4,0,2,1732.140429053887,0
-4,0,10,194.47841677049254,0
-4,1,-9,513.8026878394674,0
-4,1,-5,2201.8259576100977,0
-4,1,-3,3005.295492686856,0
-4,1,-1,1890.9466000651196,0
-4,1,1,1636.8300471215048,0
-4,1,3,2668.104887531418,0
-4,1,5,2697.616978605561,0
-4,1,7,928.6744247500434,0
-4,1,9,241.14367044417537,0
-4,2,-10,575.7063447602441,0
-4,2,-6,191.99516795953832,0
-4,2,-4,789.4045073252297,0
-4,2,-2,1092.1328401785813,0
-4,2,0,6537.027200870349,0
-4,2,2,221.24484169426194,0
-4,2,4,919.1215564316612,0
-4,2,6,364.01410257020007,0
-4,2,10,281.928486773211,0
-4,3,-9,351.12065416259844,0
-4,3,-7,696.5434043574885,0
-4,3,-1,152.02043305773338,0
-4,3,1,468.06374554381347,0
-4,3,3,1000.5310949751179,0
-4,3,5,786.4511500700139,0
-4,3,7,463.5383790955119,0
-4,3,9,246.01317297280332,0
-4,4,-10,170.919237690548,0
-4,4,-8,1652.2060650684095,0
-4,4,-6,286.52447114292323,0
-4,4,-4,915.0471554680914,0
-4,4,-2,419.9700482391753,0
-4,4,0,1740.768200396829,0
-4,4,2,490.08817952257635,0
-4,4,4,337.6025051316318,0
-4,4,6,93.96081515859436,0
-4,4,8,836.368913449041,0
-4,4,10,215.4347672264112,0
-3,-4,-7,90.81518308414448,0
-3,-4,-5,1256.5890611027132,0
-3,-4,-1,160.91055597735547,0
-3,-4,1,488.54391494041323,0
-3,-4,3,835.2040074725492,0
-3,-4,9,219.01242865620796,0
-3,-3,-10,1435.249276060773,0
-3,-3,-8,730.8880169568629,0
-3,-3,-4,68.93327495202553,0
-3,-3,-2,1878.4437146543582,0
-3,-3,0,1702.7174724439396,0
-3,-3,2,3433.7432788162664,0
-3,-3,4,101.39703670892212,0
-3,-3,10,582.5991384296786,0
-3,-2,-7,1704.2716947399385,0
-3,-2,-5,4461.741743745392,0
-3,-2,-3,4913.969608049593,0
-3,-2,-1,2012.7060082071023,0
-3,-2,1,1654.767303088243,0
-3,-2,3,3094.8297899337267,0
-3,-2,5,3046.29213647656,0
-3,-2,7,52.02450985100943,0
-3,-1,-8,2329.841631177202,0
-3,-1,-6,3031.476182412535,0
-3,-1,-4,303.55576561462374,0
-3,-1,-2,7983.788728037347,0
-3,-1,0,6180.265171218585,0
-3,-1,2,7519.52552846126,0
-3,-1,4,278.33250337784534,0
-3,-1,6,2258.7965061274217,0
-3,-1,8,1152.3211254474586,0
-3,-1,10,1617.5097329183961,0
-3,0,-9,838.5252658657628,0
-3,0,-7,1638.7801723805223,0
-3,0,-5,3648.8276021440925,0
-3,0,-3,4220.329259903818,0
-3,0,-1,1413.2651318633752,0
-3,0,1,2245.6962490944193,0
-3,0,3,6057.932858708751,0
-3,0,5,4081.4607161185595,0
-3,0,7,1904.311793689502,0
-3,0,9,478.6186449757596,0
-3,1,-10,1411.7451471655395,0
-3,1,-8,933.2323158351353,0
-3,1,-6,3007.724233169403,0
-3,1,-4,281.88917440324013,0
-3,1,-2,7602.856072435008,0
-3,1,0,4984.347972031288,0
-3,1,2,6673.074863665579,0
-3,1,4,299.33946348772474,0
-3,1,6,2812.2813149586223,0
-3,1,8,1857.4442860960794,0
-3,2,-9,146.6487024766363,0
-3,2,-7,602.6816952808845,0
-3,2,-5,2076.1505964817175,0
-3,2,-3,3948.0941486854185,0
-3,2,-1,2151.2572573579364,0
-3,2,1,922.3530695152006,0
-3,2,3,3285.5029901056014,0
-3,2,5,4411.96375816122,0
-3,2,7,1706.3238525004879,0
-3,3,-10,1639.2821646983073,0
-3,3,-8,1265.4297623390516,0
-3,3,0,1524.982010401739,0
-3,3,2,4142.784642031014,0
-3,3,4,325.1551881489849,0
-3,3,6,2963.0938106875064,0
-3,3,8,460.25109121678867,0
-3,3,10,1294.7975211443193,0
-3,4,-9,519.6804181007999,0
-3,4,-7,832.752964641369,0
-3,4,-5,1599.519828382183,0
-3,4,3,874.0701364348345,0
-3,4,5,847.2811222489185,0
-3,4,7,501.02844818571225,0
-3,4,9,247.87357135843425,0
-2,-4,-10,799.7022055079962,0
-2,-4,-6,144.15132270751238,0
-2,-4,-4,505.29747058265707,0
-2,-4,-2,701.5435828880236,0
-2,-4,4,906.2214325603118,0
-2,-4,6,207.3734943261418,0
-2,-3,-7,333.3320952566619,0
-2,-3,-5,2274.344906429352,0
-2,-3,-3,2569.7456805267475,0
-2,-3,-1,1224.258543720601,0
-2,-3,1,893.7624049727193,0
-2,-3,3,2473.5677629135057,0
-2,-3,5,1922.2586679405001,0
-2,-3,7,709.2844692405341,0
-2,-3,9,396.8462708519449,0
-2,-2,-8,4716.840428026504,0
-2,-2,-6,524.9503172333184,0
-2,-2,-4,3941.3548801601655,0
-2,-2,-2,1948.6989821816612,0
-2,-2,0,11255.582705579707,0
-2,-2,2,2004.3636645544811,0
-2,-2,4,2874.1095793278137,0
-2,-2,6,449.92156463273886,0
-2,-2,8,4193.596360574198,0
-2,-2,10,798.618649234428,0
-2,-1,-9,606.2428848022918,0
-2,-1,-7,1716.4448390377593,0
-2,-1,-5,8283.108197213378,0
-2,-1,-3,8695.374162277578,0
-2,-1,-1,3128.021548896344,0
-2,-1,1,3833.329511825798,0
-2,-1,3,7273.617012366567,0
-2,-1,5,3610.061540628036,0
-2,-1,7,1485.8961937020506,0
-2,-1,9,648.5436636347805,0
-2,0,-10,1210.9390016021464,0
-2,0,-8,6650.391198865437,0
-2,0,-6,836.275752564107,0
-2,0,-4,4925.482634438486,0
-2,0,-2,3246.750813650016,0
-2,0,0,22659.433408194443,0
-2,0,2,3123.504695867966,0
-2,0,4,4846.442068326412,0
-2,0,6,729.7814805129749,0
-2,0,8,6732.910000893061,0
-2,0,10,1336.816894407366,0
-2,1,-9,623.9691395800511,0
-2,1,-7,1820.887014723028,0
-2,1,-5,5004.100897873947,0
-2,1,-3,7392.095230206502,0
-2,1,-1,2983.293375207815,0
-2,1,1,3873.972731397362,0
-2,1,3,9077.529781560677,0
-2,1,5,7274.5320530873905,0
-2,1,7,2052.558512389277,0
-2,1,9,869.0898979222134,0
-2,2,-10,373.9847339711711,0
-2,2,-8,3834.3597062255058,0
-2,2,-6,571.0990567654234,0
-2,2,-4,2633.7151459070715,0
-2,2,-2,1991.254849243187,0
-2,2,0,15497.392351275817,0
-2,2,2,2126.3181360606554,0
-2,2,4,3527.3207940551465,0
-2,2,6,805.1577237645954,0
-2,2,8,4399.490934732691,0
-2,2,10,1782.5066839556125,0
-2,3,-7,1093.8205974376895,0
-2,3,-5,2474.394357945508,0
-2,3,-3,2999.931998901034,0
-2,3,-1,1240.9023594762018,0
-2,3,1,1005.2033964857009,0
-2,3,3,3700.4097070956554,0
-2,3,5,3841.58806003083,0
-2,3,7,1778.1853207500185,0
-2,4,-10,622.5119792396314,0
-2,4,-8,3293.402413263146,0
-2,4,-6,593.4014305816276,0
-2,4,0,5819.50735264899,0
-2,4,2,1131.4060532380236,0
-2,4,4,2375.3429630132746,0
-2,4,6,244.10131401665896,0
-2,4,8,1077.0362008566458,0
-2,4,10,456.2291176591449,0
-1,-4,-9,502.71369166603614,0
-1,-4,-7,349.01253313233127,0
-1,-4,-5,825.4640115084555,0
-1,-4,-3,1262.2419610119896,0
-1,-4,-1,1102.6544682563615,0
-1,-4,1,1116.183691263989,0
-1,-4,3,1914.0886685308033,0
-1,-4,5,1678.4636291218392,0
-1,-4,7,519.597871984456,0
-1,-4,9,297.99558192825117,0
-1,-3,-8,557.7685641219296,0
-1,-3,-6,3665.0895731928,0
-1,-3,-4,336.93897694757084,0
-1,-3,-2,5795.1774298378905,0
-1,-3,0,2271.4895094861977,0
-1,-3,2,3913.225548257005,0
-1,-3,4,198.76769959225763,0
-1,-3,6,2034.9660448472148,0
-1,-3,8,1263.9346702528458,0
-1,-2,-9,316.5793704422012,0
-1,-2,-7,1467.442362413221,0
-1,-2,-5,6584.406707292947,0
-1,-2,-3,2705.049350499046,0
-1,-2,-1,2306.6825112829188,0
-1,-2,1,2297.6127686790564,0
-1,-2,3,6133.781609834746,0
-1,-2,5,4228.365960585067,0
-1,-2,7,1003.9752288097716,0
-1,-2,9,457.4905550662379,0
-1,-1,-10,4764.307369598673,0
-1,-1,-8,2324.509151005392,0
-1,-1,-6,7842.0916840367745,0
-1,-1,-4,457.8022155848226,0
-1,-1,-2,13919.38816810084,0
-1,-1,0,8329.930233863828,0
-1,-1,2,13728.629901518661,0
-1,-1,4,425.28663133581335,0
-1,-1,6,3363.7425416686806,0
-1,-1,8,2129.7549308975936,0
-1,-1,10,3801.8359490925113,0
-1,0,-9,741.8538528106893,0
-1,0,-7,1877.29680115549,0
-1,0,-5,9141.614215305553,0
-1,0,-3,10308.170396903144,0
-1,0,-1,4570.359747409175,0
-1,0,1,3625.696982313414,0
-1,0,3,14813.86871322188,0
-1,0,5,10719.902298478348,0
-1,0,7,3299.5916066306536,0
-1,0,9,1217.1335839620162,0
-1,1,-10,3346.096376118101,0
-1,1,-8,2168.101330046207,0
-1,1,-6,4377.412718062887,0
-1,1,-4,355.7305994961875,0
-1,1,-2,10502.943909636586,0
-1,1,0,6621.459612692236,0
-1,1,2,19285.955377419785,0
-1,1,4,633.7081790070235,0
-1,1,6,7376.0969968374975,0
-1,1,8,2368.058166203716,0
-1,1,10,5038.369374907817,0
-1,2,-9,452.12100214792696,0
-1,2,-7,1156.8998079584105,0
-1,2,-5,4763.613510701682,0
-1,2,-3,5361.0219266822,0
-1,2,-1,2869.776599357247,0
-1,2,1,3185.9862082205127,0
-1,2,3,6892.610398509104,0
-1,2,5,8279.692213493983,0
-1,2,7,2055.766622186728,0
-1,2,9,1153.103356085125,0
-1,3,-10,2079.600249999599,0
-1,3,-8,498.1873812825493,0
-1,3,-6,2265.714068968327,0
-1,3,-4,185.26961287890964,0
-1,3,-2,6847.411356555436,0
-1,3,0,3590.2303225827904,0
-1,3,2,6508.534281255574,0
-1,3,4,279.1144653698849,0
-1,3,6,3846.1013150651584,0
-1,3,8,821.7931285885721,0
-1,4,-9,598.878380657738,0
-1,4,-3,1633.8877581451563,0
-1,4,-1,990.6589229210962,0
-1,4,1,905.9473057946689,0
-1,4,3,3960.2419269079132,0
-1,4,9,285.02567602027,0
0,-4,-10,1130.6560183466177,0
0,-4,-8,1020.6535125301868,0
0,-4,-6,141.34274234986424,0
0,-4,-4,1111.3466752560762,0
0,-4,-2,919.709874263771,0
0,-4,0,4367.176464009986,0
0,-4,2,746.8732068540161,0
0,-4,4,1652.8072783762955,0
0,-4,8,2818.197875912965,0
0,-4,10,528.6895574302519,0
0,-3,-9,234.1425775282854,0
0,-3,-7,556.2376220141557,0
0,-3,-5,4488.911928619291,0
0,-3,-3,4982.5970985627355,0
0,-3,-1,2160.799203260727,0
0,-3,1,1530.075463431241,0
0,-3,3,3974.594779977035,0
0,-3,5,4498.030441896254,0
0,-3,7,1084.6676699070103,0
0,-2,-10,553.6838005543858,0
0,-2,-8,6027.207801199429,0
0,-2,-6,818.6368997162144,0
0,-2,-4,4439.363519583186,0
0,-2,-2,3444.884327486516,0
0,-2,0,26915.858751399992,0
0,-2,2,1664.694239052619,0
0,-2,4,3093.353309370852,0
0,-2,6,727.0461984071,0
0,-2,8,3209.2812008008787,0
0,-1,-9,929.3690893972255,0
0,-1,-7,2984.0881628033153,0
0,-1,-5,8679.546265294703,0
0,-1,-3,8796.684507812055,0
0,-1,-1,4934.198107182815,0
0,-1,1,6594.159145057642,0
0,-1,3,10538.488110967983,0
0,-1,5,8817.737750187824,0
0,-1,7,2202.7450420319483,0
0,-1,9,744.3491725660695,0
0,0,-10,1174.9235608280069,0
0,0,-8,7177.6065637655365,0
0,0,-6,1265.9677872659354,0
0,0,-4,8032.335476969977,0
0,0,4,6691.3910176827885,0
0,0,6,1063.5523193554498,0
0,0,8,7508.388803921588,0
0,0,10,1592.832989371863,0
0,1,-9,962.3268072785952,0
0,1,-7,2888.996735105104,0
0,1,-5,8674.705572088009,0
0,1,-3,5742.673623980538,0
0,1,-1,4600.080953800557,0
0,1,1,7012.189583545124,0
0,1,3,9596.08687309087,0
0,1,5,13935.657343839373,0
0,1,7,2792.1629026880382,0
0,1,9,1304.1191352393241,0
0,2,-10,288.43012936285777,0
0,2,-8,5014.890295406688,0
0,2,-6,629.6364709411148,0
0,2,-4,3684.7497593113535,0
0,2,-2,1856.3527509888252,0
0,2,0,17328.541951800667,0
0,2,2,3416.625722154941,0
0,2,4,5044.749452122177,0
0,2,6,764.2908252906534,0
0,2,8,6315.107124538195,0
0,3,-9,204.9341279690096,0
